A̱o,Media (mm)
2006,13.93
2007,10.62
2008,10.38
2009,10.59
2010,8.28
2011,9.97
2012,10.09
2013,12.08
2014,10.36
2015,12.67
2016,10.19
2017,11.62
2018,11.43
2019,12.35
2020,11.99
2021,14.58
2022,13.85
2023,9.53
2024,9.59
2025,9.68
2026,11.15
2027,14.31
2028,9.07
2029,9.64
2030,12.76
2031,12.64
2032,13.08
2033,12.10
2034,9.53
2035,9.72
2036,11.19
2037,11.02
2038,9.94
2039,13.45
2040,11.10
2041,10.33
2042,11.39
2043,10.28
2044,10.89
2045,10.56
2046,9.98
2047,10.83
2048,10.28
2049,11.56
2050,10.46
2051,9.64
2052,8.57
2053,10.69
2054,12.90
2055,11.99
2056,9.39
2057,11.99
2058,9.39
2059,8.27
2060,8.56
2061,9.38
2062,8.43
2063,10.27
2064,8.75
2065,9.63
2066,10.27
2067,12.41
2068,9.56
2069,8.75
2070,11.15
2071,12.60
2072,8.51
2073,9.55
2074,10.22
2075,9.98